Matricule,Id appartenance,Id fonction occupée,Nom,Prénom,Code du groupe politique,Nom court du groupe politique,Date de début d'appartenance,Date de fin d'appartenance,Nom court fonction,Date de début de la fonction,Date de fin de la fonction
01039U,626,622,Thiollière,Michel,UC,Groupe Union Centriste,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
01039U,803,799,Thiollière,Michel,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-10-04 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-10-04 00:00:00.0
01039U,1751,2014,Thiollière,Michel,RDSE,Groupe du RDSE,2004-10-05 00:00:00.0,2008-09-30 00:00:00.0,Membre,2004-10-05 00:00:00.0,2008-03-30 00:00:00.0
01039U,2076,2346,Thiollière,Michel,UMP,Groupe Les Républicains,2008-10-01 00:00:00.0,2010-04-16 00:00:00.0,Membre,2008-10-01 00:00:00.0,2010-04-16 00:00:00.0
19675J,2767,3161,Thomas,Claudine,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19675J,2966,3369,Thomas,Claudine,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
56829S,1390,1650,Thorez Vermeersch,Jeannette,C,Communistes,,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
59248P,1458,1718,Thyraud,Jacques,UREI,Union des Républicains et des Indépendants,,1992-10-01 00:00:00.0,Membre,,1992-10-01 00:00:00.0
000312,1391,1651,Tinant,René,UCDP,Union Centriste des Démocrates de Progrès,,1984-03-06 00:00:00.0,Membre,,1984-03-06 00:00:00.0
000251,1616,1876,Tinaud,Jean-Louis,RI,Groupe des RI,,1969-07-22 00:00:00.0,Membre,,1969-07-22 00:00:00.0
000268,1392,1652,de Tinguy du Pouet,Lionel,UCDP,Union Centriste des Démocrates de Progrès,,1981-09-09 00:00:00.0,Membre,,1981-09-09 00:00:00.0
19413M,2816,3210,Tissot,Jean-Claude,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19413M,2921,3319,Tissot,Jean-Claude,SOC,"Groupe Socialiste, Écologiste et Républicain",2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
83001G,1393,1653,Tizon,Jean-Pierre,RI,Groupe des RI,,1996-05-15 00:00:00.0,Membre,,1996-05-15 00:00:00.0
14051J,2496,2814,Tocqueville,Nelly,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14051J,2599,2947,Tocqueville,Nelly,SOC,"Groupe Socialiste, Écologiste et Républicain",2014-10-07 00:00:00.0,2020-09-30 00:00:00.0,Membre,2014-10-07 00:00:00.0,2020-09-30 00:00:00.0
01062T,571,570,Todeschini,Jean-Marc,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01062T,627,623,Todeschini,Jean-Marc,SOC,"Groupe Socialiste, Écologiste et Républicain",2001-10-02 00:00:00.0,2014-12-21 00:00:00.0,Membre,2001-10-02 00:00:00.0,2014-12-21 00:00:00.0
01062T,3020,3059,Todeschini,Jean-Marc,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-06-18 00:00:00.0,2017-06-18 00:00:00.0,Membre,2017-06-18 00:00:00.0,2017-06-18 00:00:00.0
